epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
85,2958.53,0.78605,1.2531,0.47326,0.95532,0,0.90802,0.94092,0.94485,0.72863,0.88982,0.92063,0.92153,0.5834,0.83859,1.4894,0.46034,0.95597,0,0.0001684,0.0001684,0.0001684
86,2992.79,0.77494,1.23961,0.47382,0.95086,0,0.9094,0.94088,0.94375,0.72301,0.89156,0.92281,0.92182,0.58962,0.83524,1.46171,0.45896,0.95592,0,0.0001585,0.0001585,0.0001585
87,3027.82,0.76516,1.23663,0.46305,0.94836,0,0.8988,0.9384,0.94406,0.73029,0.86173,0.93273,0.91751,0.5884,0.83224,1.50372,0.45849,0.95593,0,0.0001486,0.0001486,0.0001486
88,3062.25,0.76284,1.21979,0.45837,0.94775,0,0.90467,0.94451,0.94174,0.72837,0.88147,0.92003,0.91455,0.58854,0.82848,1.46543,0.45513,0.94823,0,0.0001387,0.0001387,0.0001387
89,3096.72,0.76619,1.23885,0.46293,0.9471,0,0.88613,0.95386,0.94396,0.73436,0.86721,0.93568,0.91551,0.5875,0.82268,1.41742,0.44716,0.9459,0,0.0001288,0.0001288,0.0001288
90,3131.68,0.76452,1.24283,0.46288,0.94958,0,0.90653,0.93771,0.95073,0.73674,0.88862,0.9198,0.92783,0.5928,0.82025,1.44209,0.44519,0.94757,0,0.0001189,0.0001189,0.0001189
91,3185.33,0.74624,1.16307,0.41058,0.94548,0,0.91009,0.92581,0.95102,0.73521,0.87674,0.91512,0.93321,0.59922,0.83708,1.47244,0.45471,0.95305,0,0.000109,0.000109,0.000109
92,3219.11,0.74512,1.14455,0.40409,0.9469,0,0.89392,0.93925,0.95046,0.73468,0.8627,0.93184,0.92532,0.59251,0.82987,1.47806,0.45072,0.9545,0,9.91e-05,9.91e-05,9.91e-05
93,3253,0.73578,1.13917,0.39944,0.93716,0,0.90498,0.94693,0.9505,0.73493,0.8847,0.92635,0.92674,0.59555,0.83175,1.4881,0.44775,0.9605,0,8.92e-05,8.92e-05,8.92e-05
94,3286.83,0.73331,1.12868,0.40027,0.93611,0,0.91226,0.94727,0.9536,0.73792,0.89421,0.92416,0.93057,0.59537,0.82967,1.48252,0.44844,0.95422,0,7.93e-05,7.93e-05,7.93e-05
95,3320.97,0.71802,1.12337,0.38446,0.93409,0,0.89373,0.94824,0.94913,0.73829,0.87233,0.92764,0.92267,0.58799,0.82852,1.47891,0.44428,0.95454,0,6.94e-05,6.94e-05,6.94e-05
96,3355.26,0.72025,1.11953,0.38478,0.93156,0,0.90222,0.94619,0.95171,0.73888,0.87894,0.92392,0.92195,0.58751,0.82468,1.47426,0.4435,0.9517,0,5.95e-05,5.95e-05,5.95e-05
97,3389.4,0.7117,1.10576,0.38529,0.93154,0,0.91634,0.9262,0.95079,0.73888,0.87698,0.91839,0.92454,0.59425,0.82042,1.4946,0.43887,0.94901,0,4.96e-05,4.96e-05,4.96e-05
98,3423.95,0.72679,1.11448,0.38369,0.9404,0,0.90388,0.93423,0.94916,0.73521,0.87902,0.91628,0.92245,0.58845,0.81731,1.48174,0.44048,0.94961,0,3.97e-05,3.97e-05,3.97e-05
99,3458.17,0.71581,1.12632,0.38446,0.93399,0,0.90543,0.93924,0.94841,0.73567,0.87971,0.91811,0.92214,0.59066,0.82141,1.48684,0.44599,0.94998,0,2.98e-05,2.98e-05,2.98e-05
